model_id,model_type,activation_function,optimizer,criterion,learning_rate,beta1,beta2,num_epochs,time_minutes,learning_rate_adam
221,MLP4,relu,Muon,MSELoss,0.0221,0.95,,500,0.28,0.0001
222,MLP4,relu,Muon,MSELoss,0.0222,0.95,,500,0.29,0.0001
223,MLP4,relu,Muon,MSELoss,0.0223,0.95,,500,0.28,0.0001
224,MLP4,relu,Muon,MSELoss,0.0224,0.95,,500,0.27,0.0001
225,MLP4,relu,Muon,MSELoss,0.0225,0.95,,500,0.29,0.0001
226,MLP4,relu,Muon,MSELoss,0.0226,0.95,,500,0.28,0.0001
227,MLP4,relu,Muon,MSELoss,0.0227,0.95,,500,0.28,0.0001
228,MLP4,relu,Muon,MSELoss,0.0228,0.95,,500,0.28,0.0001
229,MLP4,relu,Muon,MSELoss,0.0229,0.95,,500,0.28,0.0001
230,MLP4,relu,Muon,MSELoss,0.023,0.95,,500,0.29,0.0001
231,MLP4,relu,Muon,MSELoss,0.0231,0.95,,500,0.27,0.0001
232,MLP4,relu,Muon,MSELoss,0.0232,0.95,,500,0.3,0.0001
233,MLP4,relu,Muon,MSELoss,0.0233,0.95,,500,0.28,0.0001
234,MLP4,relu,Muon,MSELoss,0.0234,0.95,,500,0.28,0.0001
235,MLP4,relu,Muon,MSELoss,0.0235,0.95,,500,0.29,0.0001
236,MLP4,relu,Muon,MSELoss,0.0236,0.95,,500,0.29,0.0001
237,MLP4,relu,Muon,MSELoss,0.0237,0.95,,500,0.29,0.0001
238,MLP4,relu,Muon,MSELoss,0.0238,0.95,,500,0.29,0.0001
239,MLP4,relu,Muon,MSELoss,0.0239,0.95,,500,0.29,0.0001
240,MLP4,relu,Muon,MSELoss,0.024,0.95,,500,0.28,0.0001
241,MLP4,relu,Muon,MSELoss,0.0241,0.95,,500,0.28,0.0001
242,MLP4,relu,Muon,MSELoss,0.0242,0.95,,500,0.27,0.0001
243,MLP4,relu,Muon,MSELoss,0.0243,0.95,,500,0.29,0.0001
244,MLP4,relu,Muon,MSELoss,0.0244,0.95,,500,0.28,0.0001
245,MLP4,relu,Muon,MSELoss,0.0245,0.95,,500,0.27,0.0001
246,MLP4,relu,Muon,MSELoss,0.0246,0.95,,500,0.27,0.0001
247,MLP4,relu,Muon,MSELoss,0.0247,0.95,,500,0.28,0.0001
248,MLP4,relu,Muon,MSELoss,0.0248,0.95,,500,0.27,0.0001
249,MLP4,relu,Muon,MSELoss,0.0249,0.95,,500,0.28,0.0001
250,MLP4,relu,Muon,MSELoss,0.025,0.95,,500,0.27,0.0001
251,MLP4,relu,Muon,MSELoss,0.0251,0.95,,500,0.27,0.0001
252,MLP4,relu,Muon,MSELoss,0.0252,0.95,,500,0.29,0.0001
